Repetition rate,exeTime[s]
0,15.703
1,20.988
2,26.543
3,31.941
4,37.162
5,42.348
6,47.621
7,52.696
8,57.993
9,63.877
10,69.425
11,74.901
12,80.571
13,86.164
14,91.593
15,97.107
16,102.5
17,108.03
18,114.5
19,119.93
20,125.25
21,130.87
22,136.44
23,141.99
24,147.47
25,152.88
26,158.24
27,164.64
28,170.29
29,175.91
30,181.36
31,186.72
32,192.19
33,192.3
34,197.92
35,203.31
36,209.81
37,215.19
38,220.5
39,225.94
40,231.64
41,237.13
42,242.57
43,248.12
44,253.48
45,260.04
46,265.68
47,271.05
48,276.68
49,282.48
50,287.85
51,293.58
52,299.01
53,304.64
54,311.17
55,316.69
56,322.21
57,327.47
58,332.92
59,338.42
60,344.03
61,349.51
62,354.93
63,361.57
64,366.94
65,372.36
66,377.92
67,383.3
68,388.86
69,388.98
70,394.47
71,399.97
72,406.71
73,411.92
74,417.23
75,422.9
76,428.42
77,433.91
78,439.36
79,445.03
80,450.39
81,457.43
82,462.78
83,468.06
84,473.42
85,478.67
86,483.95
87,489.43
88,494.78
89,500.25
90,507.26
91,512.57
92,517.86
93,523.21
94,528.61
95,534.27
96,539.73
97,545.07
98,550.51
99,557.72
100,563.07
101,568.67
102,574.04
103,579.5
104,584.9
105,590.21
106,595.64
107,601.03
108,608.39
109,613.86
110,619.15
111,624.9
112,630.42
113,635.84
114,641.5
115,647.03
116,652.38
117,659.92
118,665.2
119,670.67
120,676.76
121,682.14
122,687.67
123,693.02
124,698.35
125,703.64
126,706.08
127,706.19
128,706.3
129,711.69
130,717.15
131,722.74
132,728.19
133,733.53
134,739.09
135,746.99
136,752.78
137,758.32
138,763.63
139,769.23
140,774.56
141,780.01
142,785.42
143,790.75
144,798.86
145,804.07
146,809.71
147,815.11
148,820.82
149,826.56
150,831.8
151,837.31
152,842.96
153,851.02
154,856.29
155,861.74
156,867.04
157,872.78
158,878.64
159,884.62
160,889.92
161,895.55
162,904.29
163,909.69
164,914.97
165,920.48
166,925.89
167,931.26
168,936.72
169,942.18
170,947.73
171,956.13
172,961.34
173,966.55
174,971.89
175,977.36
176,982.99
177,988.33
178,993.79
179,999.25
180,1007.8
181,1013.2
182,1018.6
183,1024.2
184,1029.6
185,1035
186,1040.6
187,1045.9
188,1051.3
189,1060
190,1065.3
191,1070.7
192,1076.2
193,1081.6
194,1086.9
195,1092.2
196,1097.6
197,1103.1
198,1111.8
199,1117.1
200,1122.5
201,1128.3
202,1133.6
203,1139.1
204,1144.6
205,1150.2
206,1155.6
207,1164.5
208,1169.9
209,1175.2
210,1180.6
211,1186.1
212,1191.4
213,1196.7
214,1202.2
215,1207.7
216,1216.6
217,1222.2
218,1227.6
219,1232.8
220,1238.2
221,1243.8
222,1249.1
223,1254.6
224,1260
225,1269
226,1274.5
227,1281.4
228,1286.8
229,1292.2
230,1297.5
231,1303.9
232,1309.5
233,1314.8
234,1324.3
235,1330
236,1335.3
237,1340.7
238,1346.1
239,1351.5
240,1356.9
241,1362.4
242,1367.9
243,1374.2
244,1379.5
245,1385.6
246,1391.4
247,1396.7
248,1402.4
249,1408.2
250,1413.6
251,1419
252,1428.7
253,1434.2
254,1440
255,1445.4
256,1450.8
257,1456.2
258,1461.8
259,1467.2
260,1472.5
261,1482
262,1487.5
263,1492.9
264,1498.7
265,1504.2
266,1509.6
267,1515.2
268,1520.5
269,1526
270,1530.5
271,1535.9
272,1541.6
273,1541.7
274,1547.2
275,1552.9
276,1553.1
277,1558.5
278,1563.9
279,1568.5
280,1573.8
281,1579.5
282,1585.1
283,1590.6
284,1596.1
285,1601.7
286,1607.1
287,1612.4
288,1622.7
289,1629.1
290,1634.5
291,1640
292,1645.3
293,1650.7
294,1656.1
295,1661.6
296,1667
297,1677.4
298,1683.1
299,1688.4
300,1694.1
301,1699.7
302,1705.5
303,1711.1
304,1716.6
305,1722
306,1732.6
307,1738
308,1743.7
309,1749.1
310,1754.4
311,1759.9
312,1765.3
313,1770.7
314,1776
315,1781.2
316,1786.7
317,1792
318,1792.2
319,1797.9
320,1803.3
321,1803.4
322,1808.9
323,1814.3
324,1819.6
325,1825.1
326,1830.5
327,1830.7
328,1836.1
329,1841.4
330,1841.5
331,1847.1
332,1852.5
333,1863.2
334,1868.6
335,1873.9
336,1879.4
337,1884.7
338,1890.1
339,1895.6
340,1900.9
341,1906.6
342,1912.2
343,1917.6
344,1923.1
345,1928.7
346,1934.3
347,1939.7
348,1945.4
349,1950.9
350,1956.3
351,1967.6
352,1973.2
353,1978.8
354,1984.3
355,1989.7
356,1995.1
357,2000.5
358,2005.9
359,2011.4
360,2017.2
361,2022.7
362,2028.5
363,2028.6
364,2034.3
365,2039.7
366,2039.8
367,2045.4
368,2050.8
369,2062
370,2067.4
371,2073.1
372,2078.5
373,2083.9
374,2089.4
375,2094.7
376,2100.2
377,2106.1
378,2112.1
379,2117.7
380,2123.1
381,2123.2
382,2128.6
383,2134.1
384,2134.2
385,2134.3
386,2139.6
387,2146.6
388,2152.4
389,2152.5
390,2158.3
391,2163.8
392,2169.3
393,2174.7
394,2180.3
395,2185.6
396,2197.1
397,2197.3
398,2197.4
399,2202.9
400,2208.3
401,2208.4
402,2213.9
403,2219.3
404,2224.9
