Repetition rate,Coppelia_simTime[s]
1,27.05
2,26.9
3,26.55
26.9,0
4,26.75
26.9,0
26.55,0
5,26.8
26.9,0
26.55,0
26.75,0
6,26.6
26.9,0
26.55,0
26.75,0
26.8,0
7,26.75
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
8,26.7
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
9,26.65
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
10,26.6
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
11,26.55
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
12,26.8
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
13,26.75
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
14,26.65
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
15,26.75
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
16,26.95
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
17,26.85
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
18,26.7
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
26.85,0
19,26.75
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
26.85,0
26.7,0
20,26.75
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
26.85,0
26.7,0
26.75,0
21,26.8
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
26.85,0
26.7,0
26.75,0
26.75,0
22,26.7
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
26.85,0
26.7,0
26.75,0
26.75,0
26.8,0
23,26.6
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
26.85,0
26.7,0
26.75,0
26.75,0
26.8,0
26.7,0
24,26.7
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
26.85,0
26.7,0
26.75,0
26.75,0
26.8,0
26.7,0
26.6,0
25,26.95
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
26.85,0
26.7,0
26.75,0
26.75,0
26.8,0
26.7,0
26.6,0
26.7,0
26,26.55
26.9,0
26.55,0
26.75,0
26.8,0
26.6,0
26.75,0
26.7,0
26.65,0
26.6,0
26.55,0
26.8,0
26.75,0
26.65,0
26.75,0
26.95,0
26.85,0
26.7,0
26.75,0
26.75,0
26.8,0
26.7,0
