Repetition rate,Coppelia_simTime[s],,
1,0.2,,real time
2,0.25,,100”{
3,0.3,,
4,0.25,,
5,0.25,,
6,0.2,,
7,0.3,,
8,0.3,,
9,0.25,,
10,0.25,,
11,0.25,,
12,0.20001,,
13,0.3,,
14,0.3,,
15,0.3,,
16,0.35001,,
17,0.2,,
18,0.25,,
19,0.3,,
20,0.25,,
21,0.25,,
22,0.25,,
23,0.25,,
24,0.35001,,
25,0.30002,,
26,0.30002,,
27,0.25,,
28,0.25003,,
29,0.25,,
30,0.25,,
31,0.24997,,
32,0.25,,
33,0.25003,,
34,0.24997,,
35,0.29999,,
36,0.29996,,
37,0.19998,,
38,0.30002,,
39,0.20001,,
40,0.29999,,
41,0.35001,,
42,0.30002,,
43,0.25,,
44,0.25,,
45,0.29999,,
46,0.29993,,
47,0.20007,,
48,0.25006,,
49,0.24994,,
50,0.25,,
51,0.29999,,
52,0.30005,,
53,0.24994,,
54,0.29999,,
55,0.29999,,
56,0.25,,
57,0.30005,,
58,0.25,,
59,0.15002,,
60,0.25,,
61,0.25,,
62,0.25,,
63,0.25006,,
64,0.19995,,
65,0.29993,,
66,0.25,,
67,0.29999,,
68,0.25,,
69,0.25006,,
70,0.25,,
71,0.19995,,
72,0.24994,,
73,0.24994,,
74,0.24994,,
75,0.25,,
76,0.25,,
77,0.19995,,
78,0.30005,,
79,0.25,,
80,0.30005,,
81,0.34998,,
82,0.25,,
83,0.30005,,
84,0.15002,,
85,0.30005,,
86,0.25,,
87,0.25,,
88,0.25,,
89,0.29993,,
90,0.25,,
91,0.25,,
92,0.20007,,
93,0.15002,,
94,0.25,,
95,0.30005,,
96,0.29993,,
97,0.30005,,
98,0.19995,,
99,0.25,,
100,0.25,,
101,0.25,,
102,0.29993,,
103,0.14978,,
104,0.25,,
105,0.30005,,
106,0.25,,
107,0.25,,
108,0.30005,,
109,0.25,,
110,0.29993,,
111,0.30005,,
112,0.25,,
113,0.30005,,
114,0.30005,,
115,0.19995,,
116,0.25,,
117,0.20007,,
118,0.25,,
119,0.29993,,
120,0.29993,,
121,0.25,,
122,0.19995,,
123,0.25,,
124,0.25012,,
125,0.25,,
126,0.25,,
127,0.25,,
128,0.1499,,
129,0.25,,
130,0.29993,,
131,0.30005,,
132,0.3501,,
133,0.24988,,
134,0.25,,
135,0.24988,,
136,0.30005,,
137,0.3501,,
138,0.34998,,
139,0.30005,,
140,0.25,,
141,0.29993,,
142,0.20007,,
143,0.19995,,
144,0.34998,,
145,0.29993,,
146,0.25,,
147,0.25,,
148,0.29993,,
149,0.25,,
150,0.29993,,
151,0.3501,,
152,0.25,,
153,0.29993,,
154,0.30005,,
155,0.29993,,
156,0.30005,,
157,0.24988,,
158,0.25012,,
159,0.25,,
160,0.25,,
161,0.29993,,
162,0.25,,
163,0.29993,,
164,0.20007,,
165,0.20007,,
166,0.30005,,
167,0.25,,
168,0.25,,
169,0.25,,
170,0.30005,,
171,0.30005,,
172,0.30005,,
173,0.15002,,
174,0.25,,
175,0.25,,
176,0.30005,,
177,0.25,,
178,0.30005,,
179,0.25,,
180,0.24976,,
181,0.30005,,
182,0.25,,
183,0.3501,,
184,0.30005,,
185,0.25,,
186,0.30005,,
187,0.2998,,
188,0.25024,,
189,0.19995,,
190,0.25024,,
191,0.2998,,
192,0.2002,,
193,0.30005,,
194,0.19995,,
195,0.3501,,
196,0.25024,,
197,0.24976,,
198,0.19995,,
199,0.30005,,
200,0.30005,,
201,0.25,,
202,0.24976,,
203,0.19995,,
204,0.1499,,
205,0.19995,,
206,0.19995,,
207,0.25,,
208,0.30005,,
209,0.30005,,
210,0.24976,,
211,0.24976,,
212,0.24976,,
213,0.25,,
214,0.30005,,
215,0.30005,,
216,0.19995,,
217,0.25,,
218,0.25,,
219,0.2998,,
220,0.25,,
221,0.25024,,
222,0.24976,,
223,0.25,,
224,0.30005,,
225,0.25024,,
226,0.34985,,
227,0.19995,,
228,0.25,,
229,0.30005,,
230,0.25024,,
231,0.25,,
232,0.30005,,
233,0.25,,
234,0.24976,,
235,0.30005,,
236,0.30005,,
237,0.24976,,
238,0.24976,,
