Repetition rate,Coppelia_simTime[s]
1,0.2
2,0.15
3,0.15
4,0.15
5,0.15
6,0.15
7,0.15
8,0.2
9,0.15
10,0.2
11,0.14999
12,0.14999
13,0.15001
14,0.2
15,0.15001
16,0.15001
17,0.15001
18,0.14999
19,0.14999
20,0.14996
21,0.14999
22,0.14999
23,0.15002
24,0.15002
25,0.14996
26,0.14999
27,0.15002
28,0.14996
29,0.14999
30,0.14999
31,0.15002
32,0.14999
33,0.14999
34,0.14996
35,0.15002
36,0.15002
37,0.14996
38,0.14996
39,0.14996
40,0.14996
41,0.1499
42,0.15002
43,0.15002
44,0.14996
45,0.14996
46,0.14996
47,0.15002
48,0.15002
49,0.15002
50,0.14996
51,0.14996
52,0.15002
53,0.15002
54,0.14996
55,0.15002
56,0.14996
57,0.14996
58,0.15002
59,0.15002
60,0.15002
61,0.14996
62,0.15002
63,0.15002
64,0.15002
65,0.14996
66,0.15002
67,0.14996
68,0.1499
69,0.15002
70,0.14996
71,0.1499
72,0.14996
73,0.15002
74,0.15002
75,0.15002
76,0.15002
77,0.14996
78,0.15002
79,0.15002
80,0.15002
81,0.15002
82,0.15002
83,0.15002
84,0.1499
85,0.15002
86,0.15002
87,0.15002
88,0.15002
89,0.1499
90,0.15002
91,0.15002
92,0.15002
93,0.15002
94,0.15002
95,0.15002
96,0.15002
97,0.15002
98,0.15002
99,0.15002
100,0.15002
101,0.15002
102,0.15002
103,0.15002
104,0.15002
105,0.1499
106,0.1499
107,0.15002
108,0.15002
109,0.15002
110,0.15002
111,0.15002
112,0.1499
113,0.15002
114,0.15002
115,0.15002
116,0.15002
117,0.1499
118,0.15002
119,0.15002
120,0.1499
121,0.15002
122,0.15002
123,0.1499
124,0.15002
125,0.15002
126,0.15002
127,0.1499
128,0.15002
129,0.15002
130,0.15002
131,0.15002
132,0.1499
133,0.15002
134,0.15002
135,0.15002
136,0.15002
137,0.15002
138,0.15002
139,0.15002
140,0.1499
141,0.14978
142,0.15002
143,0.1499
144,0.15002
145,0.15002
146,0.15002
147,0.15002
148,0.15002
149,0.15002
150,0.15002
151,0.15002
152,0.15002
153,0.15002
154,0.15002
155,0.15002
156,0.15002
157,0.15002
158,0.15002
159,0.15002
160,0.15002
161,0.15002
162,0.1499
163,0.15002
164,0.15002
165,0.1499
166,0.1499
167,0.15002
168,0.15002
169,0.15002
170,0.15002
171,0.15002
172,0.1499
173,0.15002
174,0.15002
175,0.15002
176,0.15002
177,0.15002
178,0.15002
179,0.15002
180,0.15002
181,0.15002
182,0.15002
183,0.15002
184,0.15002
185,0.15002
186,0.15002
187,0.15002
188,0.15002
189,0.15002
190,0.15002
191,0.15002
192,0.1499
193,0.15002
194,0.15002
195,0.15002
196,0.15002
197,0.15002
198,0.15002
199,0.15002
200,0.15002
201,0.15002
202,0.15002
203,0.15002
204,0.15002
205,0.15002
206,0.15002
207,0.1499
208,0.15002
209,0.15002
210,0.15002
211,0.15002
212,0.1499
213,0.15002
214,0.15002
215,0.15002
216,0.15002
217,0.15002
218,0.15002
219,0.15002
220,0.15002
221,0.15002
222,0.15002
223,0.15002
224,0.15002
225,0.15002
226,0.1499
227,0.15002
228,0.15002
229,0.15002
230,0.15002
231,0.15002
232,0.15002
233,0.15002
234,0.15002
235,0.15002
236,0.15002
237,0.15002
238,0.15002
239,0.15002
240,0.15002
241,0.15002
242,0.15002
243,0.15002
244,0.1499
245,0.15002
246,0.1499
247,0.15002
248,0.15002
249,0.1499
250,0.15002
251,0.1499
252,0.15002
253,0.15002
254,0.15002
255,0.15002
256,0.15002
257,0.1499
258,0.1499
259,0.15002
260,0.1499
261,0.15002
262,0.15002
263,0.15002
264,0.15002
265,0.15002
266,0.15002
267,0.15002
268,0.15002
269,0.15002
270,0.15002
271,0.15002
272,0.15002
273,0.15002
274,0.15002
275,0.1499
276,0.15002
277,0.15002
278,0.14978
279,0.1499
280,0.15002
281,0.1499
282,0.15002
283,0.14978
