Repetition rate,exeTime
1,0.75
2,0.8
3,0.65
4,0.75
5,0.7
2,0.7
4,0.75
6,0.8
8,0.75
10,0.7
3,0.75
6,0.75
9,0.7
12,0.7
15,0.60001
